1.000000, 0.004753, 0.000806
1.000000, 0.077796, 0.000000
1.000000, 0.153789, 0.000000
1.000000, 0.232821, 0.000000
1.000000, 0.313796, 0.000000
1.000000, 0.395649, 0.000000
1.000000, 0.477428, 0.000000
1.000000, 0.558251, 0.000000
1.000000, 0.637553, 0.000000
1.000000, 0.714245, 0.000000
1.000000, 0.787620, 0.000000
1.000000, 0.857177, 0.000000
1.000000, 0.897915, 0.045207
1.000000, 0.931794, 0.101116
1.000000, 0.960051, 0.165419
0.828804, 1.000000, 0.230594
0.824994, 1.000000, 0.314135
0.815345, 1.000000, 0.399492
0.807275, 1.000000, 0.484852
0.792214, 1.000000, 0.569285
0.820934, 1.000000, 0.651947
0.888018, 1.000000, 0.732082
0.932047, 1.000000, 0.809024
1.000000, 0.930768, 0.886016
0.674939, 0.597552, 0.947762
