0.0078125,0,0,0,0
0.0099575,0.046825,0,0,0
0.012691,0.071986,1.3855e-21,0,1.3404e-21
0.016176,0.1037,1.8408e-21,0,4.4849e-21
0.020617,0.13616,8.0301e-22,0,3.2708e-21
0.026278,0.16633,0.007471,0,3.1119e-21
0.033493,0.1947,0.032949,0,3.1648e-21
0.042689,0.22529,0.058851,0,3.0057e-21
0.054409,0.253,0.094366,0,2.6424e-21
0.069348,0.2829,0.12843,0,1.5325e-22
0.088388,0.31506,0.16299,0.0037173,0
0.11266,0.3466,0.18855,0.03263,0
0.14359,0.38407,0.21578,0.061727,0
0.18301,0.42874,0.2435,0.093971,0
0.23326,0.48464,0.26963,0.12885,0
0.2973,0.55177,0.29885,0.16477,0.0031392
0.37893,0.64391,0.32942,0.19135,0.033828
0.48297,0.73599,0.36529,0.21705,0.063574
0.61557,0.83329,0.40955,0.24375,0.098502
0.78458,0.92083,0.46476,0.27055,0.13365
1,0.99702,0.53092,0.2982,0.16758
1.2746,1,0.63416,0.32596,0.19102
1.6245,1,0.73977,0.35658,0.22051
2.0705,1,0.83777,0.39756,0.24813
2.639,1,0.92953,0.45196,0.27761
3.3636,1,1,0.52151,0.30659
4.2871,1,1,0.62457,0.33166
5.4642,1,1,0.73619,0.36229
6.9644,1,1,0.83644,0.40322
8.8766,1,1,0.92453,0.45727
11.314,1,1,1,0.52709
14.42,1,1,1,0.62724
18.379,1,1,1,0.73253
23.425,1,1,1,0.83977
29.857,1,1,1,0.92215
38.055,1,1,1,1
48.503,1,1,1,1
61.82,1,1,1,1
78.793,1,1,1,1
100.43,1,1,1,1
128,1,1,1,1
