1.000000, 0.000000, 0.000000, 0.000000
1.000000, 0.107779, 0.000000, 0.000000
1.000000, 0.225141, 0.000000, 0.000000
1.000000, 0.346138, 0.000000, 0.000000
1.000000, 0.468157, 0.000000, 0.000000
1.000000, 0.588770, 0.000000, 0.000000
1.000000, 0.705845, 0.000000, 0.000000
1.000000, 0.817590, 0.000000, 0.000000
1.000000, 0.900184, 0.035347, 0.000000
1.000000, 0.949359, 0.116636, 0.000000
1.000000, 0.986104, 0.215020, 0.000000
0.939311, 1.000000, 0.330480, 0.000000
0.984719, 1.000000, 0.453535, 0.000000
0.983375, 1.000000, 0.575528, 0.000000
0.982920, 1.000000, 0.694216, 0.000000
0.981837, 1.000000, 0.807719, 0.000000
0.973294, 1.000000, 0.894052, 0.033054
1.000000, 0.944328, 0.946046, 0.117524
1.000000, 0.613026, 0.985231, 0.220520
0.824505, 0.830313, 1.000000, 0.340765
0.822916, 0.826307, 1.000000, 0.471029
0.828063, 0.831705, 1.000000, 0.600446
0.803956, 0.831663, 1.000000, 0.726575
0.734713, 0.805514, 1.000000, 0.847311
0.109163, 0.305546, 0.885145, 0.956582
