0.0078125,0,0,0
0.0099575,0.043298,5.3555e-22,0
0.012691,0.068233,5.24e-22,0
0.016176,0.099217,3.7926e-22,0
0.020617,0.13105,1.5847e-22,0
0.026278,0.16193,9.295e-23,0
0.033493,0.19249,1.0223e-22,0
0.042689,0.22187,0.0067226,0
0.054409,0.24216,0.035882,0
0.069348,0.26569,0.063736,0
0.088388,0.2928,0.095934,0
0.11266,0.32552,0.12706,0
0.14359,0.36657,0.15933,0
0.18301,0.41682,0.19143,0
0.23326,0.48389,0.21451,0.018561
0.2973,0.56838,0.23449,0.047253
0.37893,0.65793,0.25599,0.078825
0.48297,0.74446,0.28194,0.11068
0.61557,0.83468,0.31458,0.14454
0.78458,0.91545,0.35677,0.17699
1,0.9877,0.40835,0.20735
1.2746,1,0.49517,0.21996
1.6245,1,0.58843,0.23782
2.0705,1,0.68195,0.25835
2.639,1,0.77954,0.28525
3.3636,1,0.86504,0.32097
4.2871,1,0.94003,0.36756
5.4642,1,1,0.43014
6.9644,1,1,0.51864
8.8766,1,1,0.61233
11.314,1,1,0.71075
14.42,1,1,0.80082
18.379,1,1,0.88543
23.425,1,1,0.9645
29.857,1,1,1
38.055,1,1,1
48.503,1,1,1
61.82,1,1,1
78.793,1,1,1
100.43,1,1,1
128,1,1,1
