1.000000, 0.004941, 0.000000, 0.000000, 0.000000
1.000000, 0.157191, 0.000000, 0.000000, 0.000000
1.000000, 0.316501, 0.000000, 0.000000, 0.000000
1.000000, 0.477850, 0.000000, 0.000000, 0.000000
1.000000, 0.636794, 0.000000, 0.000000, 0.000000
1.000000, 0.789464, 0.000000, 0.000000, 0.000000
1.000000, 0.891700, 0.056136, 0.000000, 0.000000
1.000000, 0.954463, 0.164808, 0.000000, 0.000000
0.995961, 1.000000, 0.298554, 0.000000, 0.000000
0.992357, 1.000000, 0.460134, 0.000000, 0.000000
0.992921, 1.000000, 0.619440, 0.000000, 0.000000
0.993587, 1.000000, 0.772463, 0.000000, 0.000000
0.994573, 1.000000, 0.874541, 0.057581, 0.000000
1.000000, 0.951017, 0.939871, 0.167569, 0.000000
1.000000, 0.328929, 0.988487, 0.302869, 0.000000
0.844179, 0.878493, 1.000000, 0.459841, 0.000000
0.804767, 0.851381, 1.000000, 0.623223, 0.000000
0.793615, 0.861199, 1.000000, 0.780415, 0.000000
0.750195, 0.823210, 1.000000, 0.887745, 0.056321
0.702168, 0.777604, 1.000000, 0.951909, 0.171740
0.563097, 0.610780, 0.754127, 1.000000, 0.312939
0.538779, 0.594761, 0.695918, 1.000000, 0.483468
0.413003, 0.469412, 0.564120, 1.000000, 0.652870
0.195722, 0.274036, 0.417979, 1.000000, 0.816901
0.095966, 0.000000, 0.000000, 0.911089, 0.966808
