0.0078125,0,0
0.0099575,0.04108,3.708e-20
0.012691,0.047823,5.4321e-20
0.016176,0.065391,5.9717e-20
0.020617,0.083157,5.6894e-20
0.026278,0.10398,6.3196e-20
0.033493,0.12791,6.3889e-20
0.042689,0.1563,6.041e-20
0.054409,0.19097,5.6943e-20
0.069348,0.23139,5.4626e-20
0.088388,0.2763,0.010773
0.11266,0.32933,0.021906
0.14359,0.39697,0.033063
0.18301,0.46994,0.045095
0.23326,0.54158,0.061894
0.2973,0.61753,0.082825
0.37893,0.69394,0.10713
0.48297,0.76558,0.13532
0.61557,0.83936,0.1691
0.78458,0.90635,0.20897
1,0.96558,0.25482
1.2746,1,0.30533
1.6245,1,0.37926
2.0705,1,0.45322
2.639,1,0.53436
3.3636,1,0.61317
4.2871,1,0.69167
5.4642,1,0.77153
6.9644,1,0.84026
8.8766,1,0.90374
11.314,1,0.96351
14.42,1,1
18.379,1,1
23.425,1,1
29.857,1,1
38.055,1,1
48.503,1,1
61.82,1,1
78.793,1,1
100.43,1,1
128,1,1
