0.0078125,0
0.0099575,0
0.012691,0
0.016176,0.034072
0.020617,0.072078
0.026278,0.11268
0.033493,0.15532
0.042689,0.20165
0.054409,0.24921
0.069348,0.29912
0.088388,0.35227
0.11266,0.40442
0.14359,0.45943
0.18301,0.51602
0.23326,0.57033
0.2973,0.62743
0.37893,0.68417
0.48297,0.73784
0.61557,0.79391
0.78458,0.84724
1,0.89681
1.2746,0.93968
1.6245,0.97889
2.0705,1
2.639,1
3.3636,1
4.2871,1
5.4642,1
6.9644,1
8.8766,1
11.314,1
14.42,1
18.379,1
23.425,1
29.857,1
38.055,1
48.503,1
61.82,1
78.793,1
100.43,1
128,1
